Responsável,ARTIGO,BIBTEX,Ano,Autores,Conferencia (Local de Publicação),"Repositorio (PubMed Capes, ACM IEEE)",Citações (Google Scholar),"Plataforma (WhatsApp, Telegram, Discord, WeChat, etc)",País,"conjunto de dados utilizados para fazer analise (Não usou, mensagens, entrevistas, coleta, dado fornecido por usuario). survey de outros artigos...",Tamanho do dataset (Se tiver coletado dado direto da rede social),"Tópico  dos dados (Política, Saúde, Outro?)","Quais as características mais internas dessas plataformas que favorecem o espalhamento de desinformação? (por exemplo: ambiente é criptografado, é anonimo, é dificil de rastrear,  não da pra checar veracidade, viraliza muito facil etc etc) Coisas internas aos sistemas do WhatsApp Telegram Etc","Quais os principais problemas externos à plataformas e da sociedade que facilitam o espalhamento de desinformação levantados pelo artigo? Desafios apontados externos ao WhatsApp/Efeitos da desinformação na população (alguns exemplos: caracteristicas da população em geral, sociedade polarizada, topicos polemicos, característica geracionais, entre outros fatores que favorecem o compartilhamento de fake news)","Quais os impactos causados pela desinformação/fake news na nossa sociedade levantados pelo artigo? Quais os problemas causados em consequência da fake news (alguns exemplos: manipulação de eleições (e outras opiniões), deterioramente da saúde, impactos na saúde, educação, tecnologia etc)","O artigo tem alguma Soluções propostas EFETIVA para combate a desinformação? ( Exemplos: Modelo de IA para detecção de desinformação, arquitetura especifica para checar os fatos, colaboração com agencia de fact-checking, mudanças nas diretrizes e funcionamento das plataformas, políticas publicas de combate a desinformação)",Quais os meios de combate à desinformação tem sido aplicado nessas plataformas,OBSERVAÇÕES
Juan,Analyzing Public Opinion and Misinformation in a COVID-19 Telegram Group Chat,9291476,2020,"Lynnette Hui Xian Ng, Jia Yuan Loke",IEEE,IEEE,64,Telegram,Singapura,"Os autores utilizaram uma abordagem de coleta de mensagens diretamente de um grupo público do Telegram (""SG Fight COVID-19"") usando a API Telethon Python",48.050 mensagens de 10.765 usuários,Saúde,"combinação de grandes tamanhos de grupo, visibilidade parcial e anonimato"," maneira inoportuna e desordenada como a informação é compartilhada, falta de comunicação pública unificada e coerente","risco para a saúde pública e a ação pública, Mesmo informações que são classificadas como verdadeiras podem causar alarme se forem compartilhadas de maneira inoportuna e desordenada",comunicação de saúde pública unificada e coerente,-,
Renan,A Survey on Role of Machine Learning and NLP in Fake News Detection on Social Media,9573875,2021,"C Agrawal, A Pandey, S Goyal","International Conference on Computing, Power and Communication Technologies (GUCON)",IEEE,11,-,-,,,Combate,,,,,,
Renan,Content Characteristics and Transmission Strategies of Social Media Rumors in China: Big Data Analysis of WeChat Rumors,8963026,2019,"Lingnan He, Jing Gu, Dan Li, Kaisheng Lai","6th International Conference on Behavioral, Economic and Socio-Cultural Computing (BESC)
",IEEE,3,WeChat,China,artigos sobre rumores,2175 artigos,Combate,,,,,,
Ana Flávia,Assessing the Validity of Health Messages Used by the Saudi Public in WhatsApp,Alfaris31122023,2023,"Eiad Alfaris, Yasser Alhazzani, Abdullah Alkhenizan, Farhana Irfan, Naif Almoneef, Nada Alyousefi, Huda Alfaris, Khitam Alodhaibi, Abdullah M A Ahmed","Patient Preference and Adherence, 17 edição",PubMed,0,WhatasApp,Arábia Saudita,Coletaram as mensagens,"326 mensagens enviadas por estudantes, que foram classificadas por profissionais sobre sua confiabilidade",Saúde (Covid-19),"As plataformas sociais contêm uma enorme quantidade de informação, o que torna difícil filtrar informações falsas ou imprecisas, que podem impactar negativamente a saúde pública, tornando as mensagens de saúde nas redes sociais potenciais indicadores de infodemiologia.","dois terços da população saudita preferem as redes sociais como fonte de informação sobre saúde, especialmente o WhatsApp, que representa 90% da taxa de uso.",Informações imprecisas podem impactar negativamente a saúde pública,"Investir mais em alfabetização em saúde (health literacy) pode ser mais eficaz do que tentar desmentir cada fake news.Alianças científicas com empresas de redes sociais podem formar grupos consultivos (think tanks) para monitorar e validar conteúdos.As mensagens educativas devem ser adaptadas ao perfil do público-alvo, considerando valores culturais, fatores cognitivos, emocionais e contextuais. As organizações de saúde devem usar as redes sociais para dialogar com os pacientes, e não apenas para divulgar mensagens. Deve-se monitorar ativamente a comunicação em saúde nas principais redes sociais, e direcionar os usuários a fontes confiáveis como o Ministério da Saúde ou o site da OMS.",,
Ana Flávia,Countering misinformation via WhatsApp: Preliminary evidence from the COVID-19 pandemic in Zimbabwe,10.1371/journal.pone.0240005,2020,"Jeremy BowlesID1, Horacio LarreguyID1*, Shelley LiuID2"," PLOS ONE, volume 15, número 10",PubMed,148,WhatsApp,Zimbabue,Os dados estão relacionados ao espelhamento de mensagens verdadeiras e como isso afetou positivamente,27.000 assinantes de listas de transmissão; 868 responderam à pesquisa experimental (resposta via WhatsApp ou Qualtrics).,Saúde (Covid-19),O WhatsApp é amplamente usado no Zimbábue por causa do baixo custo e anonimato. Seu caráter fechado e viral facilita a propagação de desinformação.,A desconfiança nas autoridades e a percepção pública de que a COVID-19 não era uma ameaça real contribuíram para o não cumprimento das medidas de prevenção.,Comportamentos prejudiciais como desrespeito ao isolamento e crença em curas falsas foram associados à circulação de fake news.,"Sim, o artigo apresenta evidência de que mensagens de uma fonte confiável (ONG Kubatana) no WhatsApp aumentaram o conhecimento e reduziram comportamento de risco (0,26σ a mais em conhecimento; 30 pontos percentuais a menos em não cumprimento).",Não menciona,"Embora o WhatsApp seja frequentemente identificado como um meio de rápida disseminação de desinformação, mostramos que Organizações da Sociedade Civil (OSCs) confiáveis podem utilizar o WhatsApp com sucesso para corrigir equívocos e modificar comportamentos relacionados."
Ana Flávia,COVID-19-Associated Misinformation Across the South Asian Diaspora: Qualitative Study of WhatsApp Messages,info:doi/10.2196/38607,2023,"Anjana E Sharma,Kiran Khosla,Kameswari Potharaju,Arnab Mukherjea,Urmimala Sarkar",JMIR Infodemiology 2023 (Jan 05); 3:,PubMed,8,WhatsApp,"A diáspora do Sul Asiático, definida como comunidades com origem em Bangladesh, Butão, Índia, Maldivas, Nepal, Paquistão e Sri Lanka","Coletaram, através de pessoas enviando, 55 mensagens de texto, imagens ou vídeos ","96, mas 55 que atendiam aos critérios",Saúde,"As mensagens no WhatsApp são facilmente encaminhadas, com capacidade limitada de identificar o autor original ou verificar os fatos, o que facilita a disseminação da desinformação.","A desinformação sobre a COVID-19 persiste devido a uma “tempestade perfeita” de incertezas sobre a doença, intenções maliciosas de agentes com interesses políticos ou comerciais, e boas intenções de membros da comunidade com baixa literacia em saúde ou mídia ","A desinformação, ou seja, informações falsas e imprecisas, representa um grande desafio à saúde pública durante a pandemia da COVID-19",,,
Ana Flávia,Demographic Factors Influencing the Impact of Coronavirus-Related Misinformation on WhatsApp: Cross-sectional Questionnaire Study,info:doi/10.2196/19858,2021,"Jay Amol Bapaye
Harsh Amol Bapaye","JMIR Novel Coronavirus (COVID-19)  Vol 7, No 1 (2021): January",PubMed,73,WhatsApp,Índia,"Não houve um dataset, foi utilizado um questionário",,,,O contexto da Covid19 e a presença de um link ou fonte na mensagem aumentava sua credibilidade — mesmo que a mensagem fosse falsa. O estudo identificou que usuários com mais de 65 anos eram os mais vulneráveis à desinformação sobre a COVID-19 no WhatsApp.,Risco à saúde,,,
Helom,COVID-19 Information Dissemination Using the WeChat Communication Index: Retrospective Analysis Study,info:doi/10.2196/28563,2021,"Zina Fan, Wenqiang Yin, Han Zhang, Dandan Wang, Chengxin Fan, Zhongming Chen, Jinwei Hu, Dongping Ma, Hongwei Guo",Journal of Medical Internet Research (JMIR),PubMed,25,WeChat,China,publicações relacionadas à COVID-19,1621 publicações,saúde (covid),não discute características internas da plataforma, O artigo menciona fatores sociais como a demanda pública por informações durante crises,"A introdução destaca os perigos de boatos e informações falsas durante a pandemia, afirmando que, sem o devido controle. Também enfatiza o papel da informação precisa em medidas de saúde",O estudo sugere estratégias como a disseminação de informações autoritativas e com apelo emocional,,
Helom,Debunking highly prevalent health misinformation using audio dramas delivered by WhatsApp: evidence from a randomised controlled trial in Sierra Leone,winters2021debunking,2021,"Maike Winters , Ben Oppenheim , Paul Sengeh, Mohammad B Jalloh, Nance Webber, Samuel Abu Pratt, Bailah Leigh, Helle Molsted-Alvesson,1Zangin Zeebari, Carl Johan Sundberg, Mohamed F Jalloh ,Helena Nordenstedt",BMJ Global Health,PubMed,28,WhatsApp,Serra Leoa,Coleta de dados via pesquisas ,736 participantes,Saúde,não discute características internas da plataforma,O acesso limitado a ferramentas de diagnóstico. Os mitos acerca das doenças ,"No texto fala como exemplo o uso indevido de medicações, tanto o uso de forma exagerada tanto o uso de placebos ","Na pesquisa foram usadas duas formas de combate: Refutação explícita, onde era abordados os mitos de forma direta. Correção implícita, apenas fornecia as informações corretas. O primeiro método se mostrou mais eficiente","o estudo usou o WhatsApp para entregar as radionovelas. No entanto, não discute mudanças no na plataforma",
Helom,Fake News and vaccine hesitancy in the COVID-19 pandemic in Brazil,galhardi2022fake,2022,"Cláudia Pereira Galhardi

Neyson Pinheiro Freire

Maria Clara Marques Fagundes

Maria Cecília de Souza Minayo

Isabel Cristina Kowal Olm Cunha",Fiocruz,PubMed,47,"WhatsApp, Facebook, Instagram",Brasil,"Denuncias  voluntarias enviadas ao aplicativo ""Eu Fiscalizo""","253 registros de fake news relacionados à vacina de COVID (registros do aplicativo ""Eu fiscalizo"")",Saúde (covid),"o artigo destaca que plataformas de mídias sociais são canais primários de desinformação devido à sua natureza viral e aos algoritmos que priorizam o engajamento. Ele observa que as fake news se espalham 70% mais rápido que notícias verdadeiras, impulsionadas por conteúdos emocionais (como teorias da conspiração)","o artigo identifica fatores sociais como polarização política (ex: retórica antivacina de certos políticos), baixa alfabetização midiática",destaca a dminuição a adesão à vacina e a manipulação política,"menciona colaborações com verificadores de fatos (como o app Eu Fiscalizo e parcerias com pesquisadores), mas não propõe mudanças sistêmicas nas plataformas",não discute mudanças nas plataformas,
Helom,Misinformation on social networks during the novel coronavirus pandemic: a quali-quantitative case study of Brazil,biancovilli2021misinformation,2021,"Priscila Biancovilli, Lilla Makszin, Claudia Jurberg",BMC Public Health (Open Access Journal),PubMed,58,"Facebook (principal), WhatsApp",Brasil,Dados de 232 notícias falsas verificadas pela Agência Lupa,232 peças de desinformação,Saúde,"o artigo  cita problemas como a facilidade de compartilhamento em massa no Facebook e WhatsApp, e a falta de regulação no conteúdo publicado. Além disso, menciona que o WhatsApp é particularmente problemático devido à natureza privada de seus grupos","o artigo menciona fatores externos, como a postura negacionista do governo brasileiro durante a pandemia, que contribuiu para a disseminação de desinformação. Também destaca a cultura de automedicação e a desconfiança nas instituições públicas como facilitadores.","o artigo descreve impactos graves, como a invasão de hospitais por seguidores de teorias da conspiração, a automedicação perigosa com cloroquina e a desconfiança generalizada nas medidas de saúde pública.","artigo não propõe soluções diretas, mas sugere que comunicadores científicos e educadores em saúde devem aumentar sua presença nas redes sociais com conteúdo baseado em evidências para combater a desinformação.","O artigo menciona que o Facebook tentou implementar políticas contra notícias falsas, mas não detalha outras medidas específicas.",
Helom,Social Media and the Influence of Fake News on Global Health Interventions: Implications for a Study on Dengue in Brazil,gagnon2023social,2023,"Marie-Catherine Gagnon-Dufresne, Mayana Azevedo Dantas, Jean Souza dos Anjos, Kellyanne Abreu Silva, Delano Pessoa Carneiro Barbosa, Rebeca Porto Rosa, William de Luca,
Monica Zahreddine, Andrea Caprara, Valéry Ridde, KateZinszer","Int. J. Environ. Res. Public Health (IJERPH), 2023",PubMed,18,WhatsApp,Brasil,Relato de caso baseado em observação de campo,Sem base numérica,Saúde,"o texto destaca que o WhatsApp, por ser uma plataforma fechada, criptografada e de rápida disseminação, facilita a propagação de desinformação.","Fatores como desigualdade social, desconfiança generalizada nas instituições públicas e polarização política no Brasil criam um ambiente propício para a desinformação.","A desinformação prejudicou a implementação de intervenções de saúde baseadas em evidências, como o estudo COESA, no qual fake news levaram à resistência da comunidade e à interrupção da pesquisa.","O artigo sugere estratégias como desenvolver planos de comunicação robustos, envolver líderes comunitários desde o início dos projetos e melhorar a comunicação de riscos.","A única medida mencionada é a proibição, pelo Tribunal Superior Eleitoral brasileiro, do envio de mensagens em massa para fins eleitorais no WhatsApp",
Helom,"The Electoral Misinformation Nexus: How News Consumption, Platform Use, and Trust in News Influence Belief in Electoral Misinformation",10.1093/poq/nfae019,2024," Camila Mont’Alverne, Benjamin Toff, Amy Ross Arguedas, Sayan Banerjee, Richard Fletcher
Rasmus Kleis Nielsen
","Public Opinion Quarterly (Oxford University Press, 2024)",PubMed,13,WhatsApp,Brasil,42 milhões de cliques (em links e aplicativos de monitoramento) + 4 surveys,2200 usuários rastreados,Política,O artigo não se concentra em características técnicas específicas das plataformas,Cita problemas como polarização polarização política e o declínio da confiança nas autoridades,"Problemas de 'erosion of trust', violencia política e um ciclo vicioso de desconfiança, pois as fake news diminuem o poder de combate às fake news "," o artigo não propõe soluções técnicas, focando-se mais no fortalecimento de fontes confiáveis","A única medida mencionada é a proibição, pelo Tribunal Superior Eleitoral brasileiro, do envio de mensagens em massa para fins eleitorais no WhatsApp",
João Francisco,A deep dive into COVID-19-related messages on WhatsApp in Pakistan,javed2022deep,2022,"RT Javed, M Usama, W Iqbal, J Qadir, G Tyson",Social Network Analysis and Mining,PubMed,38,Whatsapp,Paquistão,Mensagens de grupos públicos de whatsapp (emw),"23.6K mensagens, 6.6k imagens","Politica, Saúde","Impossibilidade de moderação global, pouco poder de admins de grupo","NÃO DISCUTE, Põe em dúvida se polarização afeta (fig 5)","Impactos na saúde (curas falsas, desconfiança vacinas...), Conspirações",-,-,14% média desinfo
João Francisco,Hot Topic Recognition of Health Rumors Based on Anti-Rumor Articles on the WeChat Official Account Platform: Topic Modeling,info:doi/10.2196/45019,2023,"Z Li, X Wu, L Xu, M Liu, C Huang",Journal of Medical Internet Research,PubMed,8,WeChat,China,Dataset autoral através de crawler,9366 artigos,Outro,"""Natureza fechada do wechat""","Ansiedade perante a crises, falta de conhecimento em saúde pessoal","Pânico social, atraso de tratamentos, erosão da confiança em instituilções","Implementação de autenticação de usuários com nomes reais para envio de informações sobre saúde, filtragem assistida por IA e auditada manualmente, fact-checking mais forte por contas oficiais",Contas oficiais divulgam informações corretas,
João Francisco,Mechanism of WeChat's Impact on Public Risk Perception During COVID-19,Zhuang31122021,2021,"Yue Zhuang , Tiantian Zhao & Xuanrong Shao",Risk Management and Healthcare Policy ,PubMed,12,WeChat,China,Survey,801 respostas,Saúde,-,,,,,
Juan,COVID-19 Infodemic: A study on the Fragile Five countries,https://doi.org/10.1002/pa.2846,2023,Merve Boyacı Yıldırım,Journal of Public Affairs,PubMed,3,"Facebook, Twitter e WhatsApp ","Turquia, Brasil, Índia, Indonésia e África do Sul",Os dados do estudo foram obtidos do banco de dados CoronaVirusFacts da International Fact-checking Network (IFCN).,"1.734 peças de desinformação: 198 são da Turquia, 136 da Indonésia, 619 da Índia, 741 do Brasil e 40 da África do Sul",Saúde,"densidade das redes de comunicação, No caso do WhatsApp, a base de uso pessoal","Ambientes de incerteza e estresse, Falta inicial de informação de qualidade","
Danos à saúde física e mental, 
Obstáculo a comportamentos saudáveis, Pânico e interrupções econômicas, Xenofobia","Aumento da consciência pública, Prevenção da disseminação de desinformação, Cooperação entre governos e provedores de tecnologia, Obrigações legais para fontes de notícias, Melhoria da alfabetização midiática, Suporte e cooperação com organizações de verificação de fatos","Fact-checking, Direcionamento de usuários para fontes confiáveis, 
Serviços de refutação de notícias falsas",
Juan,"COVID-19, a tale of two pandemics: novel coronavirus and fake news messaging",10.1093/heapro/daaa140,2021,"Nelson A. Atehortua, Stella Patino",Health Promotion International,PubMed,115,"Facebook, Twitter, WhatsApp e YouTube","EUA, Espanha, Reino Unido, Itália","O estudo utilizou uma amostra de conveniência de mensagens de fake news (FNM), memes, tweets ou desenhos em várias línguas. As mensagens eram publicamente disponíveis e acessíveis aos pesquisadores através de redes pessoais e profissionais internacionais. ",total de 342 COVID-19 FNM (mensagens de fake news relacionadas à COVID-19),Saúde,"A natureza das ""mensagens instantâneas"", ""Engenharia de wormhole"", Uso de contas falsas e redes maliciosas","Amplificação por figuras públicas e políticos, Uso intencional por grupos políticos e extremistas, Perda de confiança nos sistemas de saúde e mídia genuína, Desconexão entre governos e autoridades de saúde","Criação de confusão na comunidade, Erosão da credibilidade da mídia genuína, Comportamentos imprevisíveis, pânico e hostilidade, Impactos na saúde mental, Comportamentos compulsivos","
Ajustar intervenções de promoção e educação em saúde, Conscientização sobre a qualidade da informação, Recuperar a confiança e desenvolver capacidade de verificação de fatos","
O artigo apenas menciona a função ""Pesquisar na Web"" do WhatsApp, ",
Juan,Dynamics of social corrections to peers sharing COVID-19 misinformation on WhatsApp in Brazil,10.1093/jamia/ocab219,2021,"Santosh Vijaykumar, DanielT.Rogerson, Yan Jin, Mariella Silva de Oliveira Costa",Journal of the American Medical Informatics Association,PubMed,37,WhatsApp,Brasil,O conjunto de dados utilizado foi obtido através de uma pesquisa online transversal (cross-sectional online survey) realizada com adultos brasileiros usando a plataforma Qualtrics,-,Saúde,"Criação de Grupos, Redes de Pequeno Mundo e Confiança Social","Níveis de Escolaridade e Idade, Crença em Desinformação, ","Obstrução de Comportamentos Preventivos e Agitação Social, Risco à Credibilidade Institucional, Impacto nos Programas de Vacinação","Fortalecer a qualidade da Informação, Incentivar a Busca por Informações Precisas, Desenvolver Pensamento Crítico e Avaliação de Mensagens, Aproveitar o Poder da Correção Social",-,
Juan,How people interact with a chatbot against disinformation and fake news in COVID-19 in Brazil: The CoronaAI case,ABONIZIO2023105134,2023,"Hugo Queiroz Abonizio, Ana Paula Ayub da Costa Barbon, Renne Rodrigues, Mayara Santos, Vicente Martínez-Vizcaíno, Arthur Eumann Mesas, Sylvio Barbon Junior
",International Journal of Medical Informatics,PubMed,11,WhatsApp,Brasil,O conjunto de dados utilizado para a análise compreende as interações dos usuários com o chatbot CoronaAI,7.000 interações,Saúde e outros,-,"
Dificuldade em encontrar e compreender informações válidas, Infodemia, Pânico na população, ","Deterioração do discurso público e decisões informadas, Impacto na vida e saúde das pessoas, Pânico na população","A principal solução é o CoronaAI, um chatbot desenvolvido com a tecnologia Dialogflow do Google, disponibilizado no WhatsApp",-,
Juan,Wildfire-Like Effect of a WhatsApp Campaign to Mobilize a Group of Predominantly Health Professionals With a University Degree on a Health Issue: Infodemiology Study,info:doi/10.2196/17051,2020,"Vanja Kopilaš, Srećko Gajović",Journal of Medical Internet Research,PubMed,8,WhatsApp,Croácia," Foi realizada uma análise retrospectiva dos dados do grupo de WhatsApp, onde as mensagens trocadas foram coletadas, anonimizadas e analisadas quanto ao seu tempo e conteúdo",133 mensagens,"Saúde, cultura e política","imediatismo, privacidade e uso gratuito","Ausência de conversas não-virtuais na vida real,","Influência em atitudes e comportamentos, Ausência de debate crítico e diversidade de opinião, ",-,-,
Marcos,"Everyday non-partisan fake news: Sharing behavior, platform specificity, and detection",10.3389/fpsyg.2023.1118407,2023,"Mark P. Shephard1, David J. Robertson, Narisong Huhe1 and Anthony Anderson2",Frontiers in Psychology,PubMed,15,"(Facebook, Twitter, Instagram, and WhatsApp)",United Kingdon (UK),Pesquisa qualitativa (perguntas) com 100 participantes,-,"(Economy, Europe, Immigration, Scotland, Crime, Health, Education) ","Não especificado diretamente.
O artigo analisa preferências de plataforma, mas não detalha funcionalidades técnicas. Destaca que ambientes privados como WhatsApp têm menor compartilhamento",Instabilidade emocional; Intenções paradoxais; Baixa capacidade de detecção,Saúde pública; Polarização implícita; Erosão do discernimento,Intervenções comportamentais; Intervenções por plataforma/tema,Não mencionado,
Marcos,A Relationship-Centered and Culturally Informed Approach to Studying Misinformation on COVID-19,doi:10.1177/2056305120948224,2020,Pranav Malhotra,Social Media+ Society,PubMed,78,"(WhatsApp, Facebook, Twitter)",Estados Unidos (US),Entrevistas realizadas com os líderes comunitários,-,"(Política, Saúde)",Criptografia e ambiente privado; Intimidade relacional; Limitações técnicas,Hierarquias culturais; Ansiedade e pânico; Dinâmicas de poder,Riscos à saúde pública; Violação de medidas sanitárias; Tensões intergeracionais,Correção relacional culturalmente sensível; Abordagem centrada no usuário,"Ineficácia de medidas técnicas: Limitação de encaminhamentos
Sem novas iniciativas reportadas",
Marcos,Antecedents and Consequences of Misinformation Sharing Behavior among Adults on Social Media during COVID-19,doi:10.1177/21582440221147022,2023,"Ammara Malik, Faiza Bashir, and Khalid Mahmood",Sage Open,PubMed,40,"(WhatsApp, Facebook, Twitter, Instagram, YouTube)",estudo mundial?,Revisão Sistemática da Literatura,-,"(Política, Saúde, Economia, Educação)",Algoritmos que priorizam engajamento; Funcionalidades de compartilhamento rápido; Ausência de verificação integrada,Fatores demográficos; Condições socioeconômicas; Polarização política; Ansiedade coletiva; Motivações psicológicas,Saúde pública; Crise psicológica; Erosão institucional; Sobrecarga de sistemas de saúde,Não há propostas técnicas específicas,Não mencionado.,
Marcos,Covid-19 Protesters and the Far Right on Telegram: Co-Conspirators or Accidental Bedfellows?,doi:10.1177/20563051221129187,2022,"Cliona Curley, Eugenia Siapera, Joe Carthy",Social Media+ Society,PubMed,29,Telegram,Irlanda (IE),Mensagens e posts coletados de grupos/canais do Telegram relacionados a protestos contra medidas da COVID-19,330.688 posts,"(Política, Saúde)",O Telegram possui políticas de moderação muito permissivas; A plataforma oferece suporte à comunicação em massa e anonimato,Crescimento da extrema-direita e convergência ideológica com negacionistas da COVID-19; Censura nas plataformas tradicionais levou à migração para o Telegram,Organização de protestos violentos e ações coordenadas contra medidas sanitárias; Ameaças a figuras públicas e mobilizações baseadas em informações falsas,"Não. O artigo é descritivo e investigativo, sem apresentar propostas práticas de solução","Plataformas tradicionais (Facebook, YouTube, Twitter) têm tomado ações de moderação, como remoção de conteúdo e contas; O governo irlandês pediu formalmente ações contra desinformação",
Marcos,Exploratory study of the hoaxes spread via WhatsApp in Spain to prevent and/or cure COVID-19,moreno2022exploratory,2022,"Carolina Moreno-Castro, Empar Vengut-Climent, Lorena Cano-OrónIsabel, Mendoza-Poudereux",Gaceta sanitaria,PubMed,46,WhatsApp,Espanha (ES),Mensagens recebidas via WhatsApp,"2.353 mensagens recebidas
584 foram validadas como boatos
126 boatos foi analisada em detalhe",(Saúde),Ambiente privado e não verificável; Disseminação rápida e sem controle,Viés psicológico e autoridade médica falsa;,Riscos à saúde pública e atraso no tratamento médico,"O artigo limita-se a descrever a coleta de bulos via parceria com agência de fact-checking, mas não propõe soluções concretas",O estudo não cita ações implementadas pelo WhatsApp. A única ação relatada é a validação externa por pesquisadores e agências,
Marcos,The importance of social media users' responses in tackling digital COVID-19 misinformation in Africa,doi:10.1177/20552076221085070,2022,Ruth Stewart Andile Madonsela Nkululeko Tshabalala Linda Etale Nicola Theunissen,Digital Health,PubMed,36,"(WhatsApp, Twitter)","Países africanos em geral
Foco específico na Nigéria e África do Sul",Postagens no Facebook e Twitter,-,"Saúde, Política e Social",Criptografia que impede moderação; Velocidade e falta de controle central; Confiança em redes pessoais,Baixa alfabetização em saúde; Ansiedade e polarização; ,Danos físicos e mortes; Crise econômica; Danos psicológicos e políticos,"O artigo identifica estratégias, mas ressalta falta de evidências: Falta de eficácia comprovada; Campanhas para ""self-efficacy to detect misinformation""","Fact-checking reativo; Ações de usuários: Apenas 5% reportam desinformação a verificadores; 15,9% deletam mensagens falsas; Parcerias institucionais",
Renan,Fact or Fake? An analysis of disinformation regarding the Covid-19 pandemic in Brazil,galhardi2020fact,2020,"Cláudia Pereira Galhardi 
Neyson Pinheiro Freire 
Maria Cecília de Souza Minayo 
Maria Clara Marques Fagundes","
Ciencia & saude coletiva, 2020•SciELO Public Heal",PubMed,142,"WhatsApp/App ""Eu Fiscalizo""",Brasil,"Coleta de conteúdo feita por meio de denúncias espontâneas de usuários via o aplicativo “Eu Fiscalizo”, analisadas por pesquisadores.",154 fake news reportadas entre 17 de março e 10 de abril de 2020.,"Saúde — desinformação sobre COVID-19, incluindo curas falsas","Coleta de denúncias espontâneas feitas por usuários no aplicativo “Eu Fiscalizo” e análise dos conteúdos identificados como fake news, o aplicativo referencia o WhatsApp","154 conteúdos de fake news sobre a COVID-19, reportados entre 17 de março e 10 de abril de 2020.","Saúde — COVID-19, incluindo desinformações sobre curas milagrosas, medidas de prevenção, deslegitimação de instituições e teorias conspiratórias.","Sugere ampliar a educação científica e crítica da população e promover a produção e disseminação de informações confiáveis, mas não propõe soluções tecnológicas.",O próprio App é a ferramenta de combate a desinformação,
Juan,How Official Social Media Affected the Infodemic among Adults during the First Wave of COVID-19 in China,liu2022official,2022,"Huan Liu, Qiang Chen, Richard Evans", International Journal of Environmental Research and Public Health,PubMed,12,WeChat e Tencent QQ,China,Os dados foram coletados através de questionários online (survey) enviados eletronicamente,total de 1398 respostas válidas,Saúde,-,"Baixo conhecimento público sobre a doença, Aumento significativo no consumo de notícias, Dificuldade para os cidadãos identificarem fontes confiáveis, Ansiedade e distúrbios no processamento de informações, rejeição da mídia social oficial do governo, "," Impacto negativo na saúde e bem-estar, Causa ansiedade em massa e pânico social, Impede a gestão eficaz de crises, Causa sérias dificuldades no gerenciamento da doença, Afeta o estado psicológico dos cidadãos,","Melhorar a qualidade da informação (IQ) das contas oficiais de mídia social, Guiar e promover o uso de sites e contas oficiais de saúde pública, Contas oficiais de mídia social devem servir de exemplo, Governos locais devem formular regras para regular a disseminação de informações pandêmicas por contas de mídia social privadas"," Contas oficiais de mídia social desempenharam um papel importante na disseminação de informações autoritárias sobre a COVID-19, o que resultou em uma redução da incerteza",
Helom,A real-time platform to monitoring misinformation on telegram,claudino2023real,2023,"Ivandro Claudino, Thiago Gadelha, Tiago Vinuto, José Wellington Franco, José Maria Monteiro and Javam Machado",25th International Conference on Enterprise Information Systems (ICEIS 2023),Scholar,2,Telegram,Brasil,msgs de grupos de telegram,513.961 mensagens,Política(Eleições),a criação de canais e grupos e a falta de moderação,menciona a polarização política como impulsionadora,fala principalmente sobre a manipulação no periódo eleitoral,apresenta uma plataforma para o monitoramento das mensagens,"cita coisas para monitoramento como bots e até uma plataforma própria, mas isso externo ao telegram",
Helom,Collective social correction: addressing misinformation through group practices of information verification on WhatsApp,Kligler-Vilenchik07022022,2022,Neta Kligler-Vilenchik,Digital Journalism (Taylor & Francis),Scholar,47,WhatsApp,Israel,"Mensagens de um grupo de WhatsApp
O grupo era voltado para discussões políticas

",101.351 mensagens,Politica,"O artigo destaca a natureza privada e semiprivada do WhatsApp, que favorece uma comunicação íntima e pode facilitar a desinformação devido ao seu ambiente criptografado","O artigo discute a polarização social e o viés político como fatores que agravam a desinformação. Por exemplo, descreve como a desconfiança em fontes como jornalistas","O artigo descreve a desinformação como disfuncional do ponto de vista democrático. Cita exemplos como a desinformação sobre vacinas da COVID-19 e o incidente do tiroteio em Tel Aviv, onde circularam alegações falsas sobre as vítimas","práticas de verificação baseadas em grupo, como checagem de fatos, verificação de fontes e responsabilização discursiva.",,
